name, value  # This file shows the dimensions of the GCA's developed in the fawn layout (Daniel Contreras - c. 2017 or 2018?)
gf,4.83E-06
gb,7.75E-06
x_GCA,3.83E-06
supportW,3.00E-06
supportL,1.53E-04
Nfing,96
fingerW,5.01E-06
fingerL,7.64E-05
fingerL_buffer,1.00E-05
spineW,2.00E-05
spineL,1.25E-03
etch_hole_size,8.00E-06
etch_hole_spacing,8.00E-06
gapstopW,1.00E-05
gapstopL_half,2.44E-04
alpha,6.74E+01
pawlW,4.00E-06
pawlL,1.22E-04
x_impact,3.00E-06
shuttleW,1.69E-03
shuttleL,2.73E-02
shuttle_area,4.61E-05
shuttle_mass,1.07E-03
shuttle_spring_k,0.00E+00
shuttle_spring_area,0.00E+00
N_gca,3.20E+01
